'	、
briv	介
brr	阮
brs	佘
bru	陬
bs	隆
bsds	隙
bsr	冼
bt	隔
bta	会
btbu	凇
btd	陌
btm	首
btma	導
btmw	道
bto	阿
btw	凚
btzp	夔
bu	舒
bu,	ぶ
bu.	ブ
bua	公
buee	翁
buo	冶
bur	兊
butb	頌
buv	阪
bv	善
bve	准
bvj	凖
bw	遵
bwf	為
bwn	冰
bwv	遂
bx	義
bx	义
bxc	爸
bxcc	爹
bxge	釜
bxiu	隋
bxiw	隨
bxiy	墮
bxk	斧
bxp	冴
bxrb	爺
bxv	敝
bxx	父
bxy	陞
by	墜
byrp	凌
byrpv	陵
byry	陸
byz	陡
bz	凝
bze	企
c	七
ca	夕
cadb	螂
cajq	輔
cak	蛀
cam	輪
cao	蛤
cat	蛉
caur	輸
caurv	蝓
cav	虫
caxi	軾
cb	輿
cbhh	羼
cbk	屏
cbki	蟻
cbl	屁
cbnp	蜷
cbor	蛻
cbqd	層
cbu	蚣
cbv	咫
cc	屬
cca	多
ccc	蟲
cccf	蠱
cccv	轟
cch	患
cci	串
ccno	夠
ccrk	輾
ccv	飄
cd	屠
cda	軔
cdb	輥
cdf	屍
cdj	蚪
cdjv	覃
cdni	蠍
cdnm	蜴
cdp	切
cdpw	遷
cdv	蟆
ce	溪
cebw	遣
cee	屈
cemb	貴
cemr	彝
cemw	遺
cenb	輛
cent	彙
ceoq	輻
ceoqv	蝠
ceqc	蠡
cer	軏
cesi	輕
cewr	剝
cf	宣
cfe	盎
cfev	盅
cfj	蚌
cfl	尼
cflv	虻
cfm	蝙
cfnd	輳
cfo	蛐
cg	履
cgj	軒
cgno	轎
cgor	蛞
cgov	蚶
cgx	要
ch	擊
cha	忠
chd	蝌
chr	蜊
chu	蜻
ci	中
cie	虹
cin	軟
ciq	軸
civ	軾
cix	蛾
cj	車
cjo	居
cjor	剧
cjou	蝴
cjov	蛄
cjqa	轉
ck	夠
cka	鏨
ckd	暫
cki	斬
ckl	軌
ckw	蜓
cky	塹
cl	巴
cldj	蟑
cll	軋
clnf	螃
cloq	蠔
clp	軛
clru	蠣
clv	蠣
clwj	蟀
clx	較
clxv	蛟
cm	慰
cmb	賈
cmcs	轔
cme	蛆
cmf	螞
cmg	屢
cmgv	螻
cmh	蟋
cmig	屨
cmip	覆
cmipv	履
cmis	屜
cmiu	屐
cml	尾
cmn	屎
cmnv	粟
cmo	眉
cmq	蟠
cmr	蜆
cmz	屘
cn	央
cna	夤
cnbf	輞
cncp	蜿
cncr	輓
cndl	螟
cnf	蛇
cnfv	鴦
cnho	轄
cnli	蟾
cnn	尺
cnob	咫
cnr	刷
cnyo	蜩
co	西
coae	蟈
cofu	蝦
cokd	蜈
col	辟
cola	璧
cold	劈
colh	擘
coli	譬
colk	襞
colt	檗
colu	臂
colw	避
coly	壁
coo	名
cooj	蟬
coov	蛔
cor	輯
cov	雒
cp	尸
cpa	外
cpdk	蝗
cpe	屋
cper	輊
cpev	蛭
cpf	蜂
cph	怨
cpnf	鴛
cpo	蚯
cpr	剭
cq	輻
cqi	蚓
cqo	蝸
cqs	螺
cqv	蠔
cr	剝
crar	蟒
crbu	殿
crbuv	臀
crdd	蟆
crk	展
crl	輒
crl	凥
crs	票
crsa	尉
crsc	飄
crsd	勡
crsf	熨
crsg	瓢
crsh	慰
crsk	褽
crsr	剽
crss	屝
cs	繫
csj	舛
csnr	軼
csny	螳
csos	蠟
csq	輜
css	蛛
cst	蝶
cstv	桀
csu	屑
ct	禍
ctk	蜥
ctn	栗
ctnq	蛹
cto	蚵
ctov	軻
ctup	轍
cu	殿
curh	擊
curs	繫
cutr	蠕
cuuu	輟
cuv	臀
cv	覆
cvdo	蜘
cvf	蚱
cw	遲
cwfc	屬
cwn	連
cwnr	迺
cwnv	尿
cws	犀
cwsw	遲
cwv	迺
cwx	蚊
cx	史
cxl	蠅
cxn	飧
cxp	蚜
cy	壁
cyo	局
cyok	轅
cypd	屠
cyu	屆
cyw	甄
cyy	蛙
cyyr	蟯
cz	捷
czf	蜢
czzz	孱
d	的
da	歹
da,	だ
da.	ダ
daa	太
dae	亙
dah	忍
daob	殮
dapa	卵
dapz	孵
daqq	殘
dat	昤
dax	刃
db	顯
dba	刅
dba	冭
dba	办
dbbe	殲
dbdw	遼
dbkk	曦
dbl	昆
dbmx	餮
dbv	殯
dc	待
dcn	映
dcnv	殃
dco	晒
dcv	殃
dd	得
ddar	劉
ddbs	暸
ddd	晶
ddd	劦
ddd	刕
dddh	勰
dddu	脅
ddem	暘
ddmb	貿
ddnl	暍
ddo	昌
ddof	照
ddov	昭
ddq	留
ddqw	遛
ddrw	曝
ddup	卿
ddv	奢
de	豆
de,	で
de.	デ
dede	晅
dee	互
deev	旦
deevv	曜
deew	遢
degu	暖
denp	曖
deq	量
deu	套
dev	旦
dez	是
dezb	題
dezf	匙
df	照
dfk	晨
dfl	死
dfoo	奩
dfp	昂
dfro	暱
dfu	曼
dfv	駕
dfyd	曙
dg	貿
dgj	旱
dgn	昊
dh	導
dhu	晴
di	鬥
di,	ぢ
di.	ヂ
diql	奄
dj	斗
djj	早
djme	殖
djr	奔
dju	豉
dk	裂
dke	旺
dki	昕
dkn	艮
dkw	退
dl	既
dld	暗
dle	昱
dlk	曠
dll	劜
dllb	曬
dln	鬧
dlob	顥
dlok	曩
dlom	影
dlos	景
dlosv	晾
dm	影
dmd	勗
dmo	冒
dn	大
dnbi	歇
dnbl	曷
dnbw	遏
dnc	暈
dncp	豌
dncr	晚
dncrv	冕
dncv	暉
dnd	殉
dndl	暝
dnee	暄
dng	晏
dnm	易
dnmr	剔
dnof	煦
dnr	昀
dnsb	殯
dnu	歿
dnx	刄
do	日
do,	ど
do.	ド
dob	邵
dod	劭
dofu	暇
dolk	袈
domb	賀
domf	駕
doo	加
dool	巶
doov	召
dor	刟
dot	架
dov	曰
dow	迦
dowv	迢
dp	刀
dpbo	晷
dpi	卯
dpno	晌
dq	殘
dqlf	鵪
dr	晚
drb	鬨
drbb	晁
drbw	暴
drf	烈
dri	列
drjq	曄
drk	夸
drkg	瓠
drkl	匏
drlk	裂
drs	奈
dru	最
drv	冕
ds	景
dse	星
dser	晃
dss	殊
dt	題
dtk	晰
dtmb	頭
dtn	杲
dto	奇
du	渡
du,	づ
due	明
duf	盟
duk	既
duke	暨
duo	殆
dup	即
dut	曇
duv	脅
dv	召
dva	奪
dvdm	殤
dvf	昨
dvom	晦
dvq	奮
